ts_code,peer_group,hfsf_latest_ann_date,hfsf_latest_report_period,hfsf_roe,hfsf_roic,hfsf_gross_margin_pct,hfsf_profit_dedt,hfsf_fcff,hfsf_debt_to_assets_pct,hfsf_revenue,hfsf_net_profit,hfsf_ocf,hfsf_free_cashflow,hfsf_capex,hfsf_total_assets,hfsf_total_liab,hfsf_close,hfsf_pe_ttm,hfsf_dividend_yield_pct,hfsf_total_mv_10k,hfsf_dividend_yield,hfsf_pe_inverse,hfsf_market_cap,hfsf_fcf_yield,hfsf_profit_dedt_ratio,hfsf_ocf_np_ratio,hfsf_fcf_to_assets,hfsf_pe_ttm_5y_monthly_avg,hfsf_pe_ttm_vs_5y_avg,hfsf_gross_margin_3y_std,hfsf_revenue_3y_cagr,hfsf_fcf_3y_cagr,hfsf_pe_ttm_peer_avg,hfsf_gross_margin_peer_avg,hfsf_fcf_to_assets_peer_avg,hfsf_pe_ttm_vs_peer,hfsf_gross_margin_vs_peer,hfsf_score,hfsf_signal
301031.SZ,其他电子Ⅲ,20251028,20250930,18.8634,14.8958,40.5022,239324428.7,28094026.0746,49.1679,1433896304.32,242089094.63,278409292.41,140219281.26000002,138190011.15,2788719235.24,1371153663.37,141.86,45.1322,0.3569,1394802.7013,0.003569,0.022157129499559076,13948027013.0,0.010052983201804186,0.9885799650156674,1.150028227564362,0.05028088862015993,70.53526842105263,0.6398529559792446,0.8454617809221164,0.545498061733338,,120.85741,18.69726,-0.0313239137203575,0.3734334535217989,21.804940000000002,0.9886891600490447,top_20pct
301078.SZ,专业连锁Ⅲ,20251028,20250930,5.1415,3.9526,28.6119,155926277.83,-522760027.0404,64.2615,7348642837.13,209131476.28,1094438272.53,678614913.6099999,415823358.92,10869411512.54,6984847380.08,8.27,40.2552,0.8403,1043014.5634,0.008403,0.02484151115880681,10430145634.0,0.06506284163452745,0.7455897151571526,5.233254658732905,0.06243345491401115,88.32463333333334,0.45576413375053165,0.4399122492043165,0.007866705947117358,0.6417997998194149,40.432900000000004,11.14985,0.08875666146267669,0.9956050641927736,17.462049999999998,0.5067124585595013,top_20pct
301087.SZ,医疗耗材,20251030,20250930,5.4724,4.4241,53.3545,221991674.51,89791005.9144,27.3657,2397791920.73,260217303.07,589991388.19,429333691.6600001,160657696.53,6540292345.5,1789799374.54,56.08,31.525,3.1241,1171494.376,0.031240999999999998,0.0317208564631245,11714943760.0,0.03664837838367908,0.853101126984945,2.2673026782976415,0.06564441908401847,26.95518888888889,1.169533633392375,4.511869872089247,0.07000364990724339,,46.76183333333333,58.929855555555555,0.03343331687166198,0.6741609075777611,-5.575355555555554,0.12043054729578571,
301101.SZ,文娱用品,20251027,20250930,8.8023,8.913,57.9485,130393187.13,99115510.4731,12.2572,626370178.11,149101017.95,160617965.19,99115510.4731,62420728.31,2001066707.3,245274207.65,33.19,35.4099,1.5007,668818.6599,0.015007,0.02824068975060647,6688186599.0,0.014819489409568731,0.8745291542793253,1.0772425795500749,0.049531337516895986,53.30835384615385,0.6642467351776009,1.981837687349797,0.06001548176050164,2.8332412744796796,35.4099,57.9485,0.049531337516895986,1.0,0.0,0.28852560537890654,
301071.SZ,非金属材料Ⅲ,20251030,20250930,0.8744,0.6266,13.7356,10264905.68,-7965778.2478,21.2094,401986591.06,46272577.43,288367882.5,56509913.379999995,231857969.12,6717723113.34,1424787591.13,40.31,149.4161,0.3638,1049157.6937,0.003638,0.006692719191573064,10491576937.0,0.005386217316932592,0.2218356151767965,6.231939055831409,0.008412063496303244,57.472418181818185,2.5997879457118245,14.05108103656085,0.06606914500907801,,175.24335,24.9914,0.004295232108249345,0.852620655790933,-11.255799999999999,-0.43935557464953295,
301345.SZ,摩托车,20251023,20250930,18.3899,14.7238,42.3095,601852373.2,,34.8772,2772810512.76,606538005.92,612050996.06,453534223.29999995,158516772.76,5245066190.35,1829334087.23,216.06,31.9933,1.3858,2356114.228,0.013857999999999999,0.031256544338970974,23561142280.0,0.019249245979257333,0.9922747912344047,1.0090892740210695,0.08646873210759917,24.41645675675676,1.3103170668342983,1.7957178070806885,0.06695204818376643,,290.8075666666667,24.986666666666668,0.04407309438847002,0.11001536296568167,17.32283333333333,0.8985916609436807,top_20pct
301050.SZ,军工电子Ⅲ,20251025,20250930,5.1677,4.7128,33.7332,140853387.08,175344623.0607,17.7665,690251060.61,156735719.54,233336258.46,175344623.0607,12994762.65,3761336099.14,668258520.92,45.32,89.1935,0.7568,1120365.559,0.007568,0.011211579319120788,11203655589.999998,0.015650661665930418,0.8986680731959973,1.4887241985733255,0.04661764289045884,57.286325,1.5569771668893058,3.893844281940406,0.17083783018421062,,127.37374545454546,42.20942,-0.02719309978455779,0.7002502727834878,-8.476220000000005,-0.06860922184947825,
688232.SH,垂直应用软件,20251025,20250930,-1.967,-2.2311,61.2757,-155190881.05,,16.3886,1052647825.02,-106627424.16,-144602350.65,-342105050.08,161912224.85,6348923643.11,1040498464.96,22.06,202.7061,1.6319,710292.2369,0.016319,0.004933250652052405,7102922369.0,-0.048163985512932474,1.4554499677036934,1.3561459614087334,-0.053883944635443895,43.278652830188676,4.683743294768269,2.4799215637557888,-0.0514096894630085,,338.9110411764706,40.446389999999994,-0.06992333160425092,0.5981100506384835,20.829310000000007,-0.4001008305157729,
301091.SZ,工程咨询服务Ⅲ,20251029,20250930,1.8317,1.3516,40.9031,23827517.51,-426999517.5645,27.8067,671406518.37,43067016.15,-355522503.0,-426999517.5645,21570250.42,3423361444.87,951925311.4,20.96,123.3566,0.1872,1105178.88,0.001872,0.008106578812969877,11051788799.999998,-0.0386362357525779,0.5532660406982944,-8.255099488706975,-0.12473106461030294,75.3527888888889,1.6370542062072169,1.9225930306923182,0.025723262614748776,,69.03774000000001,32.05308,0.001729032333215605,1.7867995099491956,8.85002,-0.2836460097850076,
301039.SZ,商用载货车,20251025,20250930,4.2996,3.6048,15.1743,597525537.27,,34.9044,15012482427.86,621579641.09,972688490.49,590045786.3784,288501904.8,23196721296.84,8096678873.42,8.93,18.5231,3.1355,1673593.1071,0.031355,0.053986643704347546,16735931071.0,0.03525622708860403,0.961301654317669,1.5648654270340911,0.02543660282105384,17.51527543859649,1.057539749513883,2.9846187767252537,-0.06646516762677035,,27.7644,10.910166666666667,-0.029003239561309745,0.6671529008370432,4.2641333333333336,0.23248950429740814,
301267.SZ,医院,20251029,20250930,7.3543,6.7288,45.0308,423426127.8,79337789.6111,23.9465,3271797099.4,433646378.84,698110689.68,79337789.6111,155802596.01,8163130801.02,1954785761.96,16.84,32.0453,1.8244,1414560.0,0.018244,0.031205824255038962,14145600000.0,0.005608654960630868,0.9764318312369192,1.6098616839541922,0.009719039366757002,45.33571463414634,0.7068444880289555,1.7886245942063963,0.07067593098748559,,189.67036666666664,32.27396666666667,-0.0614683237042992,0.16895259161025156,12.756833333333333,0.4944337653827865,top_20pct
688766.SH,数字芯片设计,20251031,20250930,2.6302,1.8694,29.9642,37078835.02,-49060414.54,13.2895,1433307001.89,59049216.37,-42029236.48,-110606683.19,68577446.71,2620956716.75,348313262.8,240.17,171.3418,0.1274,3555695.2827,0.0012740000000000002,0.005836287467506469,35556952827.0,-0.0031106907199880004,0.6279310260049096,-0.71176620222437,-0.04220088125955505,132.72103829787233,1.2909920099890209,4.611029794163844,0.1308287280526792,,154.39785,34.59380625,-0.029586036152655763,1.109742136953332,-4.629606249999998,-0.20588929427489389,
688502.SH,光学元件,20251031,20250930,3.8472,3.5821,47.7527,38923161.96,,23.2792,503181010.35,45691406.04,-12844263.58,-55173655.9,42329392.32,1568796430.62,365202878.68,308.62,351.2428,0.1097,1629513.6,0.001097,0.0028470334480877615,16295136000.0,-0.0033858972333830166,0.8518705230021851,-0.28110895884349985,-0.035169417027673226,262.4772810810811,1.338183626991696,1.9358562598154472,0.10980417578129154,,145.190175,34.10308333333333,-0.021101980067383497,2.4191912434846228,13.649616666666667,-0.05202698984161924,
688091.SH,化学制剂,20251030,20250930,3.5352,4.1641,83.285,48294916.14,-113888585.32,5.361,243127581.9,50658773.25,-21421543.09,-128507402.23,107085859.14,1543666261.43,82755956.72,57.42,185.0702,,1186892.3009,,0.005403355051218402,11868923009.0,-0.010827216768745998,0.953337655881748,-0.4228594913715168,-0.08324817704505319,258.29982954545454,0.7164936977530297,0.3646654489620158,1.117369772384095,,89.96438500000001,56.69078148148148,0.012126126574557175,2.0571496153727944,26.594218518518517,0.23954254024060864,
